Familia profesional,Código QP,Cualificación Profesional,Nivel,Código Certificado,Certificado Profesional,Código y certificado
Agraria ,AGA346_3,Gestión de la instalación y mantenimiento de céspedes en campos deportivos ,3,AGAJ0308,Gestión de la instalación y mantenimiento de céspedes en campos deportivos,AGAJ0308 Gestión de la instalación y mantenimiento de céspedes en campos deportivos
Agraria ,AGA347_3,Gestión de la producción agrícola,3,AGAU0208,Gestión de la producción agrícola,AGAU0208 Gestión de la producción agrícola
Agraria,AGA348_3,Gestión y mantenimiento de árboles y palmeras ornamentales,3,AGAJ0109,Gestión y mantenimiento de árboles y palmeras ornamentales,AGAJ0109 Gestión y mantenimiento de árboles y palmeras ornamentales
Agraria,AGA398_1,Actividades auxiliares en aprovechamientos forestales,1,AGAR0209,Actividades auxiliares en aprovechamientos forestales,AGAR0209 Actividades auxiliares en aprovechamientos forestales
Agraria ,AGA399_1,Actividades auxiliares en conservación y mejora de montes,1,AGAR0309,Actividades auxiliares en conservación y mejora de montes,AGAR0309 Actividades auxiliares en conservación y mejora de montes
Agraria,AGA457_2,Actividades de floristería,2,AGAJ0110,Actividades de floristería,AGAJ0110 Actividades de floristería
Agraria,AGA458_2,Mantenimiento y mejora del hábitat cinegético-piscícola,2,AGAR0111,Mantenimiento y mejora del hábitat cinegético-piscícola,AGAR0111 Mantenimiento y mejora del hábitat cinegético-piscícola
Agraria,AGA460_2,Producción de semillas y plantas en vivero,2,AGAU0110,Producción de semillas y plantas en vivero,AGAU0110 Producción de semillas y plantas en vivero
Agraria,AGA461_3,Arte floral y gestión de las actividades de floristería,3,AGAJ0208,Arte floral y gestión de las actividades de floristería,AGAJ0208 Arte floral y gestión de las actividades de floristería
Agraria ,AGA462_3,Gestión de aprovechamientos forestales,3,AGAR0110,Gestión de aprovechamientos forestales,AGAR0110 Gestión de aprovechamientos forestales
Agraria,AGA464_3,Gestión de la producción de semillas y plantas en vivero,3,AGAU0210,Gestión de la producción de semillas y plantas en vivero,AGAU0210 Gestión de la producción de semillas y plantas en vivero
Agraria,AGA465_3,Gestión de la producción ganadera,3,AGAN0311,Gestión de la producción ganadera,AGAN0311 Gestión de la producción ganadera
Agraria,AGA546_2,Apicultura,2,AGAN0211,Apicultura,AGAN0211 Apicultura
Agraria,AGA624_2,"Cuidados de animales salvajes, de zoológicos y acuarios",2,AGAN0312,"Cuidados de animales salvajes, de zoológicos y acuarios","AGAN0312 Cuidados de animales salvajes, de zoológicos y acuarios"
Artes Gráficas,ARG072_2,Impresión en offset,2,ARGI0109,Impresión en offset,ARGI0109 Impresión en offset
